IMDb id,Name,type,Running Time,Year,Age,IMDb Rating,genres,platform
tt2255915,Pata Nahi Rabb Kehdeyan Rangan Ch Raazi,Movie,153,2012,G,6.5,Comedy,Amazon Prime
tt1629399,"The Cat, the Reverend and the Slave",Movie,79,2009,G,7,Documentary,Amazon Prime
tt7998242,Avane Srimannarayana,Movie,183,2019,PG-13,7.9,Action,Amazon Prime
tt12503772,Mortal Kombat Legends: Scorpion's Revenge,Movie,79,2020,R,7.5,Talk-Show,Amazon Prime
tt10055770,Vellai Pookal,Movie,120,2019,PG-13,7.2,Crime,Amazon Prime
tt0242519,Hera Pheri,Movie,133,2000,PG,8.2,Action,Amazon Prime
tt0339485,Paarthale Paravasam,Movie,146,2001,PG-13,5.3,Comedy,Amazon Prime
tt0425350,Perumazhakkalam,Movie,111,2004,G,7,Drama,Amazon Prime
tt6863862,Dry Day,Movie,6,2017,G,5.8,Drama,Amazon Prime
tt10034236,Super Sketch,Movie,119,2018,R,6.8,Thriller,Amazon Prime
tt12923150,Tasher Ghawr,Movie,47,2020,PG-13,6.5,Drama,Amazon Prime
tt0364720,Tyagi,Movie,136,1992,G,4.9,Drama,Amazon Prime
tt0382188,Mumbai Matinee,Movie,115,2003,PG-13,5.3,Comedy,Amazon Prime
tt6186910,Imaikkaa Nodigal,Movie,168,2018,PG-13,7.4,Action,Amazon Prime
tt0918940,The Legend of Tarzan,Movie,109,2016,PG-13,6.2,Action,Amazon Prime
tt4212944,Pati Parameshwar,Movie,131,2014,G,4.6,Comedy,Amazon Prime
tt0255097,Deewane,Movie,160,2000,PG-13,4.7,Action,Amazon Prime
tt0460499,Makalkku,Movie,92,2005,G,6.8,Drama,Amazon Prime
tt0833553,Ta Ra Rum Pum,Movie,155,2007,G,5.6,Comedy,Amazon Prime
tt9118870,Ente Ummante Peru,Movie,128,2018,PG-13,6.7,Drama,Amazon Prime
tt2437560,Rajoo Dada,Movie,125,1992,G,3.8,Action,Amazon Prime
tt11760870,Birds of Prey,Movie,108,2020,R,7.4,Comedy,Amazon Prime
tt0285993,Rhythm,Movie,141,2000,G,7.6,Drama,Amazon Prime
tt0289765,Red Dragon,Movie,124,2002,R,7.2,Crime,Amazon Prime
